x_coord,y_coord,z_coord,grid_name,ghp_tree
-59.33337,16.03006,0.1,{0},grid00_tall_grass
-55.31077,16.03006,0.1,{0},grid00_tall_grass
-53.29947,16.03006,0.1,{0},grid00_tall_grass
83.46898,-86.16157,0.1,{1},grid01_tall_grass
83.46898,-84.15781,0.1,{1},grid01_tall_grass
85.48028,-96.18036,0.1,{1},grid01_tall_grass
85.48028,-94.1766,0.1,{1},grid01_tall_grass
85.48028,-90.16909,0.1,{1},grid01_tall_grass
85.48028,-88.16533,0.1,{1},grid01_tall_grass
85.48028,-86.16157,0.1,{1},grid01_tall_grass
85.48028,-84.15781,0.1,{1},grid01_tall_grass
87.49158,-96.18036,0.1,{1},grid01_tall_grass
87.49158,-94.1766,0.1,{1},grid01_tall_grass
87.49158,-92.17284,0.1,{1},grid01_tall_grass
87.49158,-90.16909,0.1,{1},grid01_tall_grass
87.49158,-88.16533,0.1,{1},grid01_tall_grass
87.49158,-86.16157,0.1,{1},grid01_tall_grass
87.49158,-84.15781,0.1,{1},grid01_tall_grass
87.49158,-82.15406,0.1,{1},grid01_tall_grass
87.49158,-80.1503,0.1,{1},grid01_tall_grass
87.49158,-78.14654,0.1,{1},grid01_tall_grass
89.50288,-96.18036,0.1,{1},grid01_tall_grass
89.50288,-94.1766,0.1,{1},grid01_tall_grass
89.50288,-92.17284,0.1,{1},grid01_tall_grass
89.50288,-90.16909,0.1,{1},grid01_tall_grass
89.50288,-88.16533,0.1,{1},grid01_tall_grass
89.50288,-86.16157,0.1,{1},grid01_tall_grass
89.50288,-84.15781,0.1,{1},grid01_tall_grass
89.50288,-82.15406,0.1,{1},grid01_tall_grass
89.50288,-80.1503,0.1,{1},grid01_tall_grass
89.50288,-78.14654,0.1,{1},grid01_tall_grass
91.51418,-96.18036,0.1,{1},grid01_tall_grass
91.51418,-94.1766,0.1,{1},grid01_tall_grass
91.51418,-92.17284,0.1,{1},grid01_tall_grass
91.51418,-90.16909,0.1,{1},grid01_tall_grass
91.51418,-88.16533,0.1,{1},grid01_tall_grass
91.51418,-86.16157,0.1,{1},grid01_tall_grass
91.51418,-84.15781,0.1,{1},grid01_tall_grass
91.51418,-82.15406,0.1,{1},grid01_tall_grass
91.51418,-80.1503,0.1,{1},grid01_tall_grass
91.51418,-78.14654,0.1,{1},grid01_tall_grass
93.52549,-96.18036,0.1,{1},grid01_tall_grass
93.52549,-94.1766,0.1,{1},grid01_tall_grass
93.52549,-92.17284,0.1,{1},grid01_tall_grass
93.52549,-90.16909,0.1,{1},grid01_tall_grass
93.52549,-88.16533,0.1,{1},grid01_tall_grass
93.52549,-86.16157,0.1,{1},grid01_tall_grass
93.52549,-84.15781,0.1,{1},grid01_tall_grass
93.52549,-82.15406,0.1,{1},grid01_tall_grass
93.52549,-80.1503,0.1,{1},grid01_tall_grass
93.52549,-78.14654,0.1,{1},grid01_tall_grass
95.53679,-90.16909,0.1,{1},grid01_tall_grass
95.53679,-88.16533,0.1,{1},grid01_tall_grass
95.53679,-86.16157,0.1,{1},grid01_tall_grass
95.53679,-84.15781,0.1,{1},grid01_tall_grass
95.53679,-82.15406,0.1,{1},grid01_tall_grass
95.53679,-80.1503,0.1,{1},grid01_tall_grass
95.53679,-78.14654,0.1,{1},grid01_tall_grass
97.54808,-90.16909,0.1,{1},grid01_tall_grass
97.54808,-88.16533,0.1,{1},grid01_tall_grass
97.54808,-86.16157,0.1,{1},grid01_tall_grass
97.54808,-84.15781,0.1,{1},grid01_tall_grass
97.54808,-82.15406,0.1,{1},grid01_tall_grass
97.54808,-80.1503,0.1,{1},grid01_tall_grass
97.54808,-78.14654,0.1,{1},grid01_tall_grass
99.55939,-90.16909,0.1,{1},grid01_tall_grass
99.55939,-88.16533,0.1,{1},grid01_tall_grass
99.55939,-86.16157,0.1,{1},grid01_tall_grass
99.55939,-84.15781,0.1,{1},grid01_tall_grass
99.55939,-82.15406,0.1,{1},grid01_tall_grass
99.55939,-80.1503,0.1,{1},grid01_tall_grass
99.55939,-78.14654,0.1,{1},grid01_tall_grass
113.63849,-72.13527,0.1,{1},grid01_tall_grass
113.63849,-70.13151,0.1,{1},grid01_tall_grass
113.63849,-68.12775,0.1,{1},grid01_tall_grass
113.63849,-64.12024,0.1,{1},grid01_tall_grass
113.63849,-62.11648,0.1,{1},grid01_tall_grass
113.63849,-60.11273,0.1,{1},grid01_tall_grass
115.64979,-72.13527,0.1,{1},grid01_tall_grass
115.64979,-66.124,0.1,{1},grid01_tall_grass
115.64979,-64.12024,0.1,{1},grid01_tall_grass
115.64979,-62.11648,0.1,{1},grid01_tall_grass
117.66109,-70.13151,0.1,{1},grid01_tall_grass
117.66109,-68.12775,0.1,{1},grid01_tall_grass
117.66109,-66.124,0.1,{1},grid01_tall_grass
119.67239,-80.1503,0.1,{1},grid01_tall_grass
119.67239,-74.13903,0.1,{1},grid01_tall_grass
119.67239,-72.13527,0.1,{1},grid01_tall_grass
119.67239,-70.13151,0.1,{1},grid01_tall_grass
121.6837,-78.14654,0.1,{1},grid01_tall_grass
121.6837,-76.14278,0.1,{1},grid01_tall_grass
121.6837,-74.13903,0.1,{1},grid01_tall_grass
123.695,-80.1503,0.1,{1},grid01_tall_grass
123.695,-78.14654,0.1,{1},grid01_tall_grass
123.695,-76.14278,0.1,{1},grid01_tall_grass
125.7063,-80.1503,0.1,{1},grid01_tall_grass
-65.36728,16.03006,0.1,{2},grid02_tall_grass
-65.36728,24.04509,0.1,{2},grid02_tall_grass
-65.36728,26.04885,0.1,{2},grid02_tall_grass
-63.35597,12.02254,0.1,{2},grid02_tall_grass
-63.35597,18.03382,0.1,{2},grid02_tall_grass
-61.34467,12.02254,0.1,{2},grid02_tall_grass
-61.34467,18.03382,0.1,{2},grid02_tall_grass
-59.33337,12.02254,0.1,{2},grid02_tall_grass
-55.31077,12.02254,0.1,{2},grid02_tall_grass
-53.29947,12.02254,0.1,{2},grid02_tall_grass
-51.28817,14.0263,0.1,{2},grid02_tall_grass
-49.27687,14.0263,0.1,{2},grid02_tall_grass
-47.26557,14.0263,0.1,{2},grid02_tall_grass
-45.25427,14.0263,0.1,{2},grid02_tall_grass
-43.24297,14.0263,0.1,{2},grid02_tall_grass
25.14126,46.08642,0.1,{3},grid03_tall_grass
27.15256,46.08642,0.1,{3},grid03_tall_grass
31.17516,-136.25551,0.1,{4},grid04_short_grass
33.18646,-136.25551,0.1,{4},grid04_short_grass
45.25427,-130.24423,0.1,{5},grid05_short_grass
47.26557,-128.24048,0.1,{5},grid05_short_grass
49.27687,-128.24048,0.1,{5},grid05_short_grass
51.28817,-126.23672,0.1,{5},grid05_short_grass
-73.41248,-50.09394,0.1,{6},grid06_short_grass
-71.40118,-54.10145,0.1,{6},grid06_short_grass
-71.40118,-52.0977,0.1,{6},grid06_short_grass
-71.40118,-50.09394,0.1,{6},grid06_short_grass
-69.38987,-54.10145,0.1,{6},grid06_short_grass
-69.38987,-52.0977,0.1,{6},grid06_short_grass
-69.38987,-50.09394,0.1,{6},grid06_short_grass
-69.38987,-48.09018,0.1,{6},grid06_short_grass
-67.37857,-54.10145,0.1,{6},grid06_short_grass
-67.37857,-52.0977,0.1,{6},grid06_short_grass
-67.37857,-50.09394,0.1,{6},grid06_short_grass
-67.37857,-48.09018,0.1,{6},grid06_short_grass
-65.36728,-54.10145,0.1,{6},grid06_short_grass
-65.36728,-52.0977,0.1,{6},grid06_short_grass
-65.36728,-50.09394,0.1,{6},grid06_short_grass
-65.36728,-48.09018,0.1,{6},grid06_short_grass
-65.36728,-46.08642,0.1,{6},grid06_short_grass
-63.35597,-54.10145,0.1,{6},grid06_short_grass
-63.35597,-52.0977,0.1,{6},grid06_short_grass
-63.35597,-50.09394,0.1,{6},grid06_short_grass
-63.35597,-48.09018,0.1,{6},grid06_short_grass
-63.35597,-46.08642,0.1,{6},grid06_short_grass
-63.35597,-44.08267,0.1,{6},grid06_short_grass
-61.34467,-54.10145,0.1,{6},grid06_short_grass
-61.34467,-52.0977,0.1,{6},grid06_short_grass
-61.34467,-50.09394,0.1,{6},grid06_short_grass
-61.34467,-48.09018,0.1,{6},grid06_short_grass
-61.34467,-46.08642,0.1,{6},grid06_short_grass
-61.34467,-44.08267,0.1,{6},grid06_short_grass
-59.33337,-54.10145,0.1,{6},grid06_short_grass
-59.33337,-52.0977,0.1,{6},grid06_short_grass
-59.33337,-50.09394,0.1,{6},grid06_short_grass
-59.33337,-48.09018,0.1,{6},grid06_short_grass
-59.33337,-46.08642,0.1,{6},grid06_short_grass
-59.33337,-44.08267,0.1,{6},grid06_short_grass
-59.33337,-42.07891,0.1,{6},grid06_short_grass
-57.32207,-54.10145,0.1,{6},grid06_short_grass
-57.32207,-52.0977,0.1,{6},grid06_short_grass
-57.32207,-50.09394,0.1,{6},grid06_short_grass
-57.32207,-48.09018,0.1,{6},grid06_short_grass
-57.32207,-46.08642,0.1,{6},grid06_short_grass
-57.32207,-44.08267,0.1,{6},grid06_short_grass
-57.32207,-42.07891,0.1,{6},grid06_short_grass
-55.31077,-54.10145,0.1,{6},grid06_short_grass
-55.31077,-52.0977,0.1,{6},grid06_short_grass
-55.31077,-50.09394,0.1,{6},grid06_short_grass
-55.31077,-48.09018,0.1,{6},grid06_short_grass
-55.31077,-46.08642,0.1,{6},grid06_short_grass
-55.31077,-44.08267,0.1,{6},grid06_short_grass
-55.31077,-42.07891,0.1,{6},grid06_short_grass
-55.31077,-40.07515,0.1,{6},grid06_short_grass
-53.29947,-54.10145,0.1,{6},grid06_short_grass
-53.29947,-52.0977,0.1,{6},grid06_short_grass
-53.29947,-50.09394,0.1,{6},grid06_short_grass
-53.29947,-48.09018,0.1,{6},grid06_short_grass
-53.29947,-46.08642,0.1,{6},grid06_short_grass
-53.29947,-44.08267,0.1,{6},grid06_short_grass
-53.29947,-42.07891,0.1,{6},grid06_short_grass
-53.29947,-40.07515,0.1,{6},grid06_short_grass
-51.28817,-48.09018,0.1,{6},grid06_short_grass
-51.28817,-46.08642,0.1,{6},grid06_short_grass
-51.28817,-44.08267,0.1,{6},grid06_short_grass
-51.28817,-42.07891,0.1,{6},grid06_short_grass
-51.28817,-40.07515,0.1,{6},grid06_short_grass
-51.28817,-38.07139,0.1,{6},grid06_short_grass
-49.27687,-48.09018,0.1,{6},grid06_short_grass
-49.27687,-46.08642,0.1,{6},grid06_short_grass
-49.27687,-44.08267,0.1,{6},grid06_short_grass
-49.27687,-42.07891,0.1,{6},grid06_short_grass
-49.27687,-40.07515,0.1,{6},grid06_short_grass
-49.27687,-38.07139,0.1,{6},grid06_short_grass
45.25427,44.08267,0.1,{10},grid10_short_grass
45.25427,48.09018,0.1,{10},grid10_short_grass
45.25427,50.09394,0.1,{10},grid10_short_grass
47.26557,42.07891,0.1,{10},grid10_short_grass
